Gene,Gene Name,log_2 fold change,Adjusted p-value
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144026"" target=""_blank"">ENSG00000144026</a>",ZNF514,7.2,0.0174187276810296
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000253438"" target=""_blank"">ENSG00000253438</a>",PCAT1,7.2,0.0271014765105568
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000243926"" target=""_blank"">ENSG00000243926</a>",TIPARP-AS1,7.2,0.0040041425140073
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189362"" target=""_blank"">ENSG00000189362</a>",NEMP2,7.1,0.0048602541595091
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119922"" target=""_blank"">ENSG00000119922</a>",IFIT2,7.1,0.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139350"" target=""_blank"">ENSG00000139350</a>",NEDD1,7.1,2.66748374223e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109189"" target=""_blank"">ENSG00000109189</a>",USP46,7.0,0.012743932550339
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137673"" target=""_blank"">ENSG00000137673</a>",MMP7,7.0,1.1406995129355e-21
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000225706"" target=""_blank"">ENSG00000225706</a>",PTPRD-AS1,7.0,0.0297931157805882
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000233325"" target=""_blank"">ENSG00000233325</a>",MIPEPP3,6.9,0.0183033755944596
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124787"" target=""_blank"">ENSG00000124787</a>",RPP40,6.9,1.3369537913e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000086848"" target=""_blank"">ENSG00000086848</a>",ALG9,6.8,0.0178017155952224
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102837"" target=""_blank"">ENSG00000102837</a>",OLFM4,6.8,2.00539086202007e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000105989"" target=""_blank"">ENSG00000105989</a>",WNT2,6.8,2.67514192018438e-49
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163214"" target=""_blank"">ENSG00000163214</a>",DHX57,6.8,0.000405092268278
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198883"" target=""_blank"">ENSG00000198883</a>",PNMA5,6.8,2.49217299508375e-93
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110077"" target=""_blank"">ENSG00000110077</a>",MS4A6A,6.8,0.012743932550339
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168612"" target=""_blank"">ENSG00000168612</a>",ZSWIM1,6.7,1.08467389264e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176248"" target=""_blank"">ENSG00000176248</a>",ANAPC2,6.7,0.0026344276342091
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101276"" target=""_blank"">ENSG00000101276</a>",SLC52A3,6.7,9.53474437845e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166762"" target=""_blank"">ENSG00000166762</a>",CATSPER2,6.7,0.007964609221183
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000135114"" target=""_blank"">ENSG00000135114</a>",OASL,6.7,0.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000151208"" target=""_blank"">ENSG00000151208</a>",DLG5,6.7,0.0061487857548108
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000147041"" target=""_blank"">ENSG00000147041</a>",SYTL5,6.6,1.38045861864e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000015153"" target=""_blank"">ENSG00000015153</a>",YAF2,6.6,5.1356915577e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170373"" target=""_blank"">ENSG00000170373</a>",CST1,6.6,8.474668940538261e-17
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143971"" target=""_blank"">ENSG00000143971</a>",ETAA1,6.6,0.0228369958633643
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205659"" target=""_blank"">ENSG00000205659</a>",LIN52,6.6,0.0043014805386002
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196741"" target=""_blank"">ENSG00000196741</a>",LINC01560,6.6,0.0202096438883919
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169908"" target=""_blank"">ENSG00000169908</a>",TM4SF1,6.5,6.973674500032561e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000185479"" target=""_blank"">ENSG00000185479</a>",KRT6B,6.5,0.0053557116559828
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000271503"" target=""_blank"">ENSG00000271503</a>",CCL5,6.5,1.26754011605185e-39
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000255857"" target=""_blank"">ENSG00000255857</a>",PXN-AS1,6.5,0.0311442923932541
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103042"" target=""_blank"">ENSG00000103042</a>",SLC38A7,6.5,0.0009818209282859
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154277"" target=""_blank"">ENSG00000154277</a>",UCHL1,6.4,6.290697621754499e-12
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171855"" target=""_blank"">ENSG00000171855</a>",IFNB1,6.4,1.06568573983289e-33
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167523"" target=""_blank"">ENSG00000167523</a>",SPATA33,6.4,0.0036908730595078
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167702"" target=""_blank"">ENSG00000167702</a>",KIFC2,6.4,0.0003164545596746
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000235109"" target=""_blank"">ENSG00000235109</a>",ZSCAN31,6.4,0.0105205052106466
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196872"" target=""_blank"">ENSG00000196872</a>",CRACDL,6.4,0.0472435865806825
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000145545"" target=""_blank"">ENSG00000145545</a>",SRD5A1,6.4,0.0133342794827578
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152661"" target=""_blank"">ENSG00000152661</a>",GJA1,6.4,1.11354693318811e-229
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000007062"" target=""_blank"">ENSG00000007062</a>",PROM1,6.3,1.32960191435873e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000036672"" target=""_blank"">ENSG00000036672</a>",USP2,6.3,0.0361712568520665
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108406"" target=""_blank"">ENSG00000108406</a>",DHX40,6.3,0.0004090773633744
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109066"" target=""_blank"">ENSG00000109066</a>",TMEM104,6.3,1.75260093213921e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109511"" target=""_blank"">ENSG00000109511</a>",ANXA10,6.3,1.98433651056958e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134321"" target=""_blank"">ENSG00000134321</a>",RSAD2,6.3,6.715136864850251e-47
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000131080"" target=""_blank"">ENSG00000131080</a>",EDA2R,6.3,2.06191913100761e-159
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000228409"" target=""_blank"">ENSG00000228409</a>",CCT6P1,6.3,0.0010514421987751
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166923"" target=""_blank"">ENSG00000166923</a>",GREM1,6.3,2.53144055064222e-34
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000238045"" target=""_blank"">ENSG00000238045</a>",MVP-DT,6.2,0.0078219712082367
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000282815"" target=""_blank"">ENSG00000282815</a>",TEX13C,6.2,2.89510605084828e-71
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104537"" target=""_blank"">ENSG00000104537</a>",ANXA13,6.2,1.07764287609141e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000062038"" target=""_blank"">ENSG00000062038</a>",CDH3,6.2,1.41271554517873e-50
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102854"" target=""_blank"">ENSG00000102854</a>",MSLN,6.2,1.8371560968974898e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000122641"" target=""_blank"">ENSG00000122641</a>",INHBA,6.2,4.1640237536382796e-33
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167552"" target=""_blank"">ENSG00000167552</a>",TUBA1A,6.2,1.43922753773365e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000177570"" target=""_blank"">ENSG00000177570</a>",SAMD12,6.2,0.0042294321281076
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000152952"" target=""_blank"">ENSG00000152952</a>",PLOD2,6.2,0.0011514566749921
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000204869"" target=""_blank"">ENSG00000204869</a>",IGFL4,6.2,1.57235655923468e-25
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000085185"" target=""_blank"">ENSG00000085185</a>",BCORL1,6.1,0.0314866107761611
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000065060"" target=""_blank"">ENSG00000065060</a>",BLTP3A,6.1,5.54505488798e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064393"" target=""_blank"">ENSG00000064393</a>",HIPK2,6.1,1.98433651056958e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124217"" target=""_blank"">ENSG00000124217</a>",MOCS3,6.1,6.8336012575258e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000092208"" target=""_blank"">ENSG00000092208</a>",GEMIN2,6.1,0.005611330734917
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000183844"" target=""_blank"">ENSG00000183844</a>",FAM3B,6.1,3.7082976097889503e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163481"" target=""_blank"">ENSG00000163481</a>",RNF25,6.0,0.0018717089463657
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000246273"" target=""_blank"">ENSG00000246273</a>",SBF2-AS1,6.0,0.0058992157075595
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000139211"" target=""_blank"">ENSG00000139211</a>",AMIGO2,6.0,1.3786518080940201e-10
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115386"" target=""_blank"">ENSG00000115386</a>",REG1A,6.0,2.3939608385906798e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108342"" target=""_blank"">ENSG00000108342</a>",CSF3,6.0,1.22765290311422e-21
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107165"" target=""_blank"">ENSG00000107165</a>",TYRP1,6.0,2.7825014116653597e-12
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118507"" target=""_blank"">ENSG00000118507</a>",AKAP7,6.0,2.2958477645726098e-12
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000001631"" target=""_blank"">ENSG00000001631</a>",KRIT1,6.0,9.25906879379e-05
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165376"" target=""_blank"">ENSG00000165376</a>",CLDN2,5.9,1.4129351775431801e-24
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157766"" target=""_blank"">ENSG00000157766</a>",ACAN,5.9,1.2092131128762e-45
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163121"" target=""_blank"">ENSG00000163121</a>",NEURL3,5.9,1.38862998849095e-87
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095637"" target=""_blank"">ENSG00000095637</a>",SORBS1,5.9,0.0059028074503009
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108176"" target=""_blank"">ENSG00000108176</a>",DNAJC12,5.9,3.52131485334884e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000215182"" target=""_blank"">ENSG00000215182</a>",MUC5AC,5.8,7.200269833944869e-55
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000129451"" target=""_blank"">ENSG00000129451</a>",KLK10,5.8,8.21310553676824e-75
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000127990"" target=""_blank"">ENSG00000127990</a>",SGCE,5.8,1.11557063068685e-10
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000130203"" target=""_blank"">ENSG00000130203</a>",APOE,5.8,3.74947162372426e-119
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000117791"" target=""_blank"">ENSG00000117791</a>",MTARC2,5.8,0.0421627582856188
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111110"" target=""_blank"">ENSG00000111110</a>",PPM1H,5.8,0.0292333111101554
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104371"" target=""_blank"">ENSG00000104371</a>",DKK4,5.8,0.0246497891910866
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000273270"" target=""_blank"">ENSG00000273270</a>",LINC03072,5.8,0.0298880853605607
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000256683"" target=""_blank"">ENSG00000256683</a>",ZNF350,5.8,0.001058967589091
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164283"" target=""_blank"">ENSG00000164283</a>",ESM1,5.8,1.25027914565827e-30
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000178372"" target=""_blank"">ENSG00000178372</a>",CALML5,5.8,4.42143075430847e-10
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000156076"" target=""_blank"">ENSG00000156076</a>",WIF1,5.8,4.1272536889927296e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000138639"" target=""_blank"">ENSG00000138639</a>",ARHGAP24,5.8,2.17302115801618e-130
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103569"" target=""_blank"">ENSG00000103569</a>",AQP9,5.7,2.01617026582692e-29
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000144908"" target=""_blank"">ENSG00000144908</a>",ALDH1L1,5.7,6.17937347821452e-110
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000135473"" target=""_blank"">ENSG00000135473</a>",PAN2,5.7,0.0104426696624586
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000170786"" target=""_blank"">ENSG00000170786</a>",SDR16C5,5.7,3.0785508754024e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000188175"" target=""_blank"">ENSG00000188175</a>",HEPACAM2,5.7,1.07764287609141e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000198873"" target=""_blank"">ENSG00000198873</a>",GRK5,5.7,1.40101052454804e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000158528"" target=""_blank"">ENSG00000158528</a>",PPP1R9A,5.7,9.988959385805869e-11
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196705"" target=""_blank"">ENSG00000196705</a>",ZNF431,5.7,0.007952262877495
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168952"" target=""_blank"">ENSG00000168952</a>",STXBP6,5.7,5.6590984526242503e-73
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164761"" target=""_blank"">ENSG00000164761</a>",TNFRSF11B,5.7,6.2709247281e-06
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206075"" target=""_blank"">ENSG00000206075</a>",SERPINB5,5.6,1.83439418614519e-81
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000231023"" target=""_blank"">ENSG00000231023</a>",LINC00326,5.6,2.0842536093012998e-71
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123584"" target=""_blank"">ENSG00000123584</a>",MAGEA9,5.6,1.74923132772629e-70
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000103888"" target=""_blank"">ENSG00000103888</a>",CEMIP,5.6,6.945977725709269e-57
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000021826"" target=""_blank"">ENSG00000021826</a>",CPS1,5.6,5.43577026791129e-09
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104419"" target=""_blank"">ENSG00000104419</a>",NDRG1,5.6,4.0457936522325895e-12
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000249550"" target=""_blank"">ENSG00000249550</a>",LINC01234,5.6,2.96378188787591e-17
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175592"" target=""_blank"">ENSG00000175592</a>",FOSL1,5.6,2.1190932065408703e-31
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169248"" target=""_blank"">ENSG00000169248</a>",CXCL11,5.6,9.141536244395821e-19
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000126259"" target=""_blank"">ENSG00000126259</a>",KIRREL2,5.6,6.790785518944149e-114
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000241484"" target=""_blank"">ENSG00000241484</a>",ARHGAP8,5.6,0.0217213749545261
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000242265"" target=""_blank"">ENSG00000242265</a>",PEG10,5.6,2.98357458676145e-56
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164403"" target=""_blank"">ENSG00000164403</a>",SHROOM1,5.6,0.0015701779294139
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165949"" target=""_blank"">ENSG00000165949</a>",IFI27,5.5,5.24430666582422e-08
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000106366"" target=""_blank"">ENSG00000106366</a>",SERPINE1,5.5,1.1507446726912299e-40
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000072415"" target=""_blank"">ENSG00000072415</a>",PALS1,5.5,0.0054752379840351
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000140937"" target=""_blank"">ENSG00000140937</a>",CDH11,5.5,9.07246105642385e-07
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000143194"" target=""_blank"">ENSG00000143194</a>",MAEL,5.5,6.06776658588173e-49
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176406"" target=""_blank"">ENSG00000176406</a>",RIMS2,5.5,2.08872935264514e-144
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000140279"" target=""_blank"">ENSG00000140279</a>",DUOX2,5.4,3.9583146830276296e-26
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000007171"" target=""_blank"">ENSG00000007171</a>",NOS2,5.4,7.39000866074e-61
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113739"" target=""_blank"">ENSG00000113739</a>",STC2,5.4,3.7304317199219004e-46
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162630"" target=""_blank"">ENSG00000162630</a>",B3GALT2,5.4,4.09229084199512e-36
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000161798"" target=""_blank"">ENSG00000161798</a>",AQP5,5.4,3.3495241450096304e-60
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000158859"" target=""_blank"">ENSG00000158859</a>",ADAMTS4,5.4,2.6033029270414e-38
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000261239"" target=""_blank"">ENSG00000261239</a>",ANKRD26P1,5.4,2.35805146925485e-46
